"entity_table","tablename","entity_column","columnname","no_columnas_por_tabla"
D,AD_Org,U,MOLI_AD_Org_ID,1
D,AD_OrgInfo,U,PA_Goal_ID,1
D,AD_Sequence_No,U,Prefix,2
D,AD_Sequence_No,U,Suffix,2
D,AD_User,U,Percentage,1
D,C_Bank,U,MOLI_C_Bank_ID,1
D,C_BankAccount,U,MOLI_C_BankAccount_ID,2
D,C_BankAccount,U,SwiftCode,2
D,C_BPartner,MOLI,IDCardNo,26
D,C_BPartner,MOLI,ImageURL,26
D,C_BPartner,MOLI,OrgSector,26
D,C_BPartner,MOLI,SocialSecurityNO,26
D,C_BPartner,U,Commision,26
D,C_BPartner,U,Commission,26
D,C_BPartner,U,FIRSTHIREDATE,26
D,C_BPartner,U,HIREDATE,26
D,C_BPartner,U,IDCardAux,26
D,C_BPartner,U,IDNumber,26
D,C_BPartner,U,IDType,26
D,C_BPartner,U,isSocialSecurity,26
D,C_BPartner,U,JobRemuneration,26
D,C_BPartner,U,MOLI_BPARTNERTYPE,26
D,C_BPartner,U,MOLI_C_BPartner_ID,26
D,C_BPartner,U,MOLI_DocumentType,26
D,C_BPartner,U,MOLI_GMRKenzoBarcode,26
D,C_BPartner,U,MOLI_GMRKenzo_ID,26
D,C_BPartner,U,MOLI_IsEDI,26
D,C_BPartner,U,MOLI_IsGMRKenzo,26
D,C_BPartner,U,MOLI_IsPromoter,26
D,C_BPartner,U,MOLI_NroCedula,26
D,C_BPartner,U,MOLI_PHOTOID,26
D,C_BPartner,U,MOLI_SyncPrefix,26
D,C_BPartner,U,OrgSectorValue,26
D,C_BPartner,U,PIN,26
D,C_BPartner_Location,U,MOLI_C_BPartner_Location_ID,2
D,C_BPartner_Location,U,MOLI_GeoRefCode_ID,2
D,C_BP_BankAccount,U,SwiftCode,1
D,C_BP_Group,U,MOLI_C_BPartner_Location_ID,1
D,C_Charge,U,MOLI_C_Charge_ID,1
D,C_City,U,admin_name,6
D,C_City,U,lat,6
D,C_City,U,lng,6
D,C_City,U,Name2,6
D,C_City,U,population,6
D,C_City,U,Value,6
D,C_Commission,U,ValidFrom,2
D,C_Commission,U,ValidTo,2
D,C_Country,U,MOLI_ALP3CountryCode,2
D,C_Country,U,MOLI_UnCountryCode,2
D,C_DocType,U,MOLI_C_DocType_ID,1
D,C_Invoice,U,MOLI_AmtIVA0,23
D,C_Invoice,U,MOLI_AmtIVA10,23
D,C_Invoice,U,MOLI_AmtIVA5,23
D,C_Invoice,U,MOLI_AuthNo,23
D,C_Invoice,U,MOLI_Cdc,23
D,C_Invoice,U,MOLI_C_Invoice_ID,23
D,C_Invoice,U,MOLI_CreditNoteReason,23
D,C_Invoice,U,MOLI_CurrencyRate,23
D,C_Invoice,U,MOLI_FiscalDocumentNo,23
D,C_Invoice,U,MOLI_FsError,23
D,C_Invoice,U,MOLI_FsPaused,23
D,C_Invoice,U,MOLI_FsStatus,23
D,C_Invoice,U,MOLI_FsVoidMessage,23
D,C_Invoice,U,MOLI_FsVoidStatus,23
D,C_Invoice,U,MOLI_InvAuth,23
D,C_Invoice,U,MOLI_InvoiceNo,23
D,C_Invoice,U,MOLI_InvoiceReference,23
D,C_Invoice,U,MOLI_IsExcluded,23
D,C_Invoice,U,MOLI_LinkAuthId,23
D,C_Invoice,U,MOLI_LinkInvNo,23
D,C_Invoice,U,MOLI_PreImpNO,23
D,C_Invoice,U,MOL_IsVerified,23
D,C_Invoice,U,MOLI_TaxCLBase,23
D,C_InvoiceLine,U,MOLI_HS_ID,7
D,C_InvoiceLine,U,MOLI_ProductBrand_ID,7
D,C_InvoiceLine,U,MOLI_ProductLine_ID,7
D,C_InvoiceLine,U,M_Product_Category_ID,7
D,C_InvoiceLine,U,ProductName,7
D,C_InvoiceLine,U,SKU,7
D,C_InvoiceLine,U,UPC,7
D,C_Order,U,CurrencyRate,5
D,C_Order,U,IsOverrideCurrencyRate,5
D,C_Order,U,MOLI_Cdc,5
D,C_Order,U,MOLI_Floreant_Data,5
D,C_Order,U,MOLI_GMRKenzo_ID,5
D,C_OrderLine,U,MOLI_Floreant_Data,4
D,C_OrderLine,U,ProductName,4
D,C_OrderLine,U,SKU,4
D,C_OrderLine,U,UPC,4
D,C_Order_LineTax_v,U,MOLI_SKULabel_RP,1
D,C_Payment,U,MOLI_C_Payment_ID,4
D,C_Payment,U,MOLI_FiscalDocumentNo,4
