tablas,ad_table_ids,ad_element_id,columnname,ad_element_uu,name,printname,description,help,entitytype
MOLI_SKULabel,1000122,202241,Address,41ec56bc-68f2-461a-b723-d2889e0a982d,Address,Address,,,D
MOLI_C_InvoicePayment,1000121,2677,AllocatedAmt,1f94fd28-094e-402e-a2e5-c701aa3efcb3,Allocated Amount,Allocated Amt,Amount allocated to this document,,D
MOLI_SKULabel,1000122,1000971,BrandName,2d8f460a-cccb-4272-b024-0181e2e60d73,BrandName,BrandName,,,U
"MOLI_RegFormProduct, MOLI_SKULabel","1000085, 1000122",2095,CategoryName,c22d7de6-b6ea-4610-8298-55a6a1532822,Category Name,Category Name,Name of the Category,,D
MOLI_RegForm,1000084,2373,C_BPartnerRelation_ID,226dea83-e3a1-4bdb-ba1d-1e8eb1e2fe20,Related Partner,Related Partner,Related Business Partner,The related Business Partner Acts on behalf of the Business Partner - example the Related Partner pays invoices of the Business Partner - or we pay to the Related Partner for invoices received from the Business Partner,D
MOLI_RegForm,1000084,2374,C_BPartnerRelation_Location_ID,8bf27228-fc70-4650-9129-a63b24812e03,Related Partner Location,Related Partner Location,Location of the related Business Partner,,D
MOLI_RegForm,1000084,2585,CountryName,db4a2edb-cebc-4049-9765-149145c36f84,Country,Country,Country Name,,D
"MOLI_RegForm, MOLI_RegFormLine","1000084, 1000086",262,Date1,36e9677c-d027-41f4-a96b-7179f615d309,Date,Date,Date when business is not conducted,The Date field identifies a calendar date on which business will not be conducted.,D
MOLI_RegForm,1000084,265,DateDoc,7bce363a-524d-427e-8ea1-6cf54fe2524c,Document Date,Doc date,Date of the Document,The Document Date indicates the date the document was generated.  It may or may not be the same as the accounting date.,D
MOLI_SKULabel,1000122,1000972,LineName,1974d5f8-992d-45a6-a7f4-79028ef05996,LineName,LineName,,,U
MOLI_RegForm,1000084,1512,MailText,fbb2f87d-f1f5-4feb-abbb-64a5a3bf3144,Mail Text,Mail Text,Text used for Mail message,The Mail Text indicates the text used for mail messages.,D
MOLI_inOutData,1000069,1025,M_InOut_ID,7820fe85-9166-4525-b01f-b952cee48589,Shipment/Receipt,Shipment/Receipt,Material Shipment Document,The Material Shipment / Receipt ,D
MOLI_movementData,1000070,1030,M_Movement_ID,b25691ea-4c7f-4d01-8141-0ac9c2953f22,Inventory Move,Move,Movement of Inventory,The Inventory Movement uniquely identifies a group of movement lines.,D
