AD_Org_ID[Name],AD_Package_Exp_ID[Name],Line,Type,AD_EntityType_ID[EntityType],AD_Menu_ID[Name],FileName,File_Directory,Target_Directory,Destination_FileName,Destination_Directory,AD_Table_ID[Name],DBType,SQLStatement,AD_Package_Code_Old,AD_Package_Code_New,AD_Form_ID[Name],AD_Process_ID[Value],AD_Workflow_ID[Value],AD_Window_ID[Name],AD_Role_ID[Name],AD_ReportView_ID[Name],AD_ImpFormat_ID[Name],AD_Val_Rule_ID[Name],AD_Message_ID[Value],AD_PrintFormat_ID[Name],ReleaseNo,Description,AD_Reference_ID[Name],AD_ModelValidator_ID[Name],AD_InfoWindow_ID[Name],ExecCode
*,MOLI_Tables,1000,T,,,,,,,,Harmonized System,ALL,,,,,,,,,,,,,,,,,,,
*,MOLI_Tables,1010,T,,,,,,,,Fiscal Geo Reference,ALL,,,,,,,,,,,,,,,,,,,
*,MOLI_Tables,1020,T,,,,,,,,MOLI_inOutData,ALL,,,,,,,,,,,,,,,,,,,
*,MOLI_Tables,1030,T,,,,,,,,MOLI_invoiceData_ID,ALL,,,,,,,,,,,,,,,,,,,
*,MOLI_Tables,1040,T,,,,,,,,MOLI_movementData,ALL,,,,,,,,,,,,,,,,,,,
*,MOLI_Tables,1050,T,,,,,,,,MOLI_posTransactions_ID,ALL,,,,,,,,,,,,,,,,,,,
*,MOLI_Tables,1060,T,,,,,,,,Product Brand,ALL,,,,,,,,,,,,,,,,,,,
*,MOLI_Tables,1070,T,,,,,,,,Product Line,ALL,,,,,,,,,,,,,,,,,,,
*,MOLI_Tables,1080,T,,,,,,,,People Counting,ALL,,,,,,,,,,,,,,,,,,,
*,MOLI_Tables,2000,W,,,,,,,,,ALL,,,,,,,Fiscal Geo Reference,,,,,,,,,,,,
*,MOLI_Tables,2010,W,,,,,,,,,ALL,,,,,,,Harmonized System,,,,,,,,,,,,
*,MOLI_Tables,2020,W,,,,,,,,,ALL,,,,,,,People Counting,,,,,,,,,,,,
*,MOLI_Tables,2030,W,,,,,,,,,ALL,,,,,,,Product Brand,,,,,,,,,,,,
*,MOLI_Tables,2040,W,,,,,,,,,ALL,,,,,,,Product Line,,,,,,,,,,,,
*,MOLI_Tables,5000,M,,Harmonized System,,,,,,,ALL,,,,,,,,,,,,,,,,,,,
*,MOLI_Tables,5010,M,,Product Brand,,,,,,,ALL,,,,,,,,,,,,,,,,,,,
*,MOLI_Tables,5020,M,,Product Line,,,,,,,ALL,,,,,,,,,,,,,,,,,,,
*,MOLI_Tables,5030,M,,Fiscal Geo Reference,,,,,,,ALL,,,,,,,,,,,,,,,,,,,
*,MOLI_Tables,5040,M,,People Counting,,,,,,,ALL,,,,,,,,,,,,,,,,,,,
*,MOLI_Tables,10000,D,,,,,,,,Package Exp.,ALL,SELECT * FROM AD_Package_Exp WHERE AD_Package_Exp_UU='2fe5b352-4e28-4e76-b5c2-92f8c2db7302';AD_Package_Exp_Detail,,,,,,,,,,,,,,,,,,
