AD_Org_ID[Name],AD_Package_Exp_ID[Name],Line,Type,AD_EntityType_ID[EntityType],AD_Menu_ID[Name],FileName,File_Directory,Target_Directory,Destination_FileName,Destination_Directory,AD_Table_ID[Name],DBType,SQLStatement,AD_Package_Code_Old,AD_Package_Code_New,AD_Form_ID[Name],AD_Process_ID[Value],AD_Workflow_ID[Value],AD_Window_ID[Name],AD_Role_ID[Name],AD_ReportView_ID[Name],AD_ImpFormat_ID[Name],AD_Val_Rule_ID[Name],AD_Message_ID[Value],AD_PrintFormat_ID[Name],ReleaseNo,Description,AD_Reference_ID[Name],AD_ModelValidator_ID[Name],AD_InfoWindow_ID[Name],ExecCode
*,MOLI_Tables # 2,1000,T,,,,,,,,Organization,ALL,,,,,,,,,,,,,,,,,,,
*,MOLI_Tables # 2,1010,T,,,,,,,,Organization Info,ALL,,,,,,,,,,,,,,,,,,,
*,MOLI_Tables # 2,1020,T,,,,,,,,Document Type,ALL,,,,,,,,,,,,,,,,,,,
*,MOLI_Tables # 2,1030,T,,,,,,,,Invoice,ALL,,,,,,,,,,,,,,,,,,,
*,MOLI_Tables # 2,1040,T,,,,,,,,Invoice Line,ALL,,,,,,,,,,,,,,,,,,,
*,MOLI_Tables # 2,1050,T,,,,,,,,Order,ALL,,,,,,,,,,,,,,,,,,,
*,MOLI_Tables # 2,1060,T,,,,,,,,Order LineTax Print,ALL,,,,,,,,,,,,,,,,,,,
*,MOLI_Tables # 2,1070,T,,,,,,,,Sales Order Line,ALL,,,,,,,,,,,,,,,,,,,
*,MOLI_Tables # 2,1080,T,,,,,,,,Tax,ALL,,,,,,,,,,,,,,,,,,,
*,MOLI_Tables # 2,1090,T,,,,,,,,Tax Category,ALL,,,,,,,,,,,,,,,,,,,
*,MOLI_Tables # 2,1100,T,,,,,,,,Payment,ALL,,,,,,,,,,,,,,,,,,,
*,MOLI_Tables # 2,1110,T,,,,,,,,Payment Term,ALL,,,,,,,,,,,,,,,,,,,
*,MOLI_Tables # 2,1120,T,,,,,,,,Payment Selection,ALL,,,,,,,,,,,,,,,,,,,
*,MOLI_Tables # 2,1130,T,,,,,,,,C_PaySelection_Check_v,ALL,,,,,,,,,,,,,,,,,,,
*,MOLI_Tables # 2,1140,T,,,,,,,,C_PaySelection_Check_vt,ALL,,,,,,,,,,,,,,,,,,,
*,MOLI_Tables # 2,1150,T,,,,,,,,Shipment/Receipt,ALL,,,,,,,,,,,,,,,,,,,
*,MOLI_Tables # 2,1160,T,,,,,,,,Shipment/Receipt Line,ALL,,,,,,,,,,,,,,,,,,,
*,MOLI_Tables # 2,1170,T,,,,,,,,Ship/Receipt Confirmation Line,ALL,,,,,,,,,,,,,,,,,,,
*,MOLI_Tables # 2,10000,D,,,,,,,,Package Exp.,ALL,SELECT * FROM AD_Package_Exp WHERE AD_Package_Exp_UU='51beb425-5a8d-4704-b24c-e6e88a47d472';AD_Package_Exp_Detail,,,,,,,,,,,,,,,,,,
